E,5.929505378589286
E,6.765508558929552
E,7.544658555263496
E,4.5765703475500885
D,7.020524400313386
E,4.062791628805979
C,9.641646453144816
E,7.883793158549361
E,7.564031021817983
E,1.2259891620780219
D,1.9492403004942083
B,4.3705329454380255
E,6.303526940215831
D,8.98889397558558
D,7.196155646620123
C,7.5276760304469095
B,2.8556904878831157
B,8.963053897483205
E,4.880250100485398
A,3.4182230819019876
C,8.291948591134872
C,9.229886062282029
B,9.946768810094607
E,5.799366358620295
E,2.4371114287517264
E,4.075652093428374
C,6.309916079532785
B,9.009288003393797
E,2.5010492729337104
B,7.857989481841081
